N° CAMPAIGN,Prediction (µm),Ground Truth (µm)
1,228.44,193.03
2,309.77,230.45
4,202.77,175.52
6,152.74,183.55
10,82.67,58.81
12,150.70,193.32
14,186.38,225.39
15,192.34,281.39
16,158.92,361.97
17,187.16,168.00
18,310.26,293.90
19,240.19,217.13
24,243.74,129.87
27,268.72,283.90
28,110.33,153.69
31,281.16,361.55
35,307.35,258.77
36,143.77,147.16
37,256.22,226.61
38,215.41,150.10
39,274.35,208.03
41,301.59,209.10
43,171.65,122.52
46,196.73,250.94
47,162.04,160.58
48,356.85,347.03
49,168.99,175.55
51,133.39,158.65
52,185.28,125.84
54,133.39,145.15
55,240.14,185.55
59,275.58,223.52
60,254.76,204.32
61,170.47,153.81
62,219.28,195.23
63,229.11,153.68
64,238.58,159.08
65,219.13,147.39
66,223.99,17.45
68,39.87,39.84
70,78.91,81.90
77,95.00,122.97
78,163.36,175.42
80,335.20,316.21
81,215.07,247.58
87,266.43,384.32
88,380.08,378.10
89,297.28,232.99
90,113.27,85.10
91,195.93,244.10
95,294.81,274.27
102,252.52,236.29
104,233.05,230.00
106,47.76,37.19
108,78.90,152.71
109,139.91,145.52
110,201.22,216.58
111,98.80,173.87
112,120.88,115.90
115,310.63,311.13
116,350.68,334.32
118,202.94,200.65
120,329.44,267.42
121,138.23,152.84
122,266.99,238.13
123,143.76,152.71
125,281.83,330.16
126,141.84,118.61
128,165.05,162.97
129,149.57,155.94
133,60.20,53.71
134,96.71,111.06
135,90.81,83.39
143,80.10,98.65
146,206.99,253.58
148,146.60,130.00
152,204.68,209.90
154,143.41,167.39
155,201.07,257.45
156,130.26,202.85
158,115.50,112.74
160,265.11,263.87
161,103.27,153.23
162,229.20,212.29
163,228.73,112.74
164,97.51,110.65
166,169.33,153.19
167,145.94,168.19
168,400.11,351.55
169,239.50,168.19
171,261.47,241.23
174,360.92,310.58
175,341.85,301.16
177,296.43,322.94
180,296.93,311.55
183,247.67,200.29
184,138.51,164.41
185,96.15,97.89
189,128.85,127.71
190,169.87,170.87
191,186.94,253.77
194,84.36,105.97
195,313.33,290.61
196,193.91,207.81
197,321.39,322.81
198,259.89,341.00
199,286.79,411.42
201,149.69,155.13
204,203.82,165.90
206,210.30,210.23
207,290.48,319.42
208,261.47,272.13
211,212.42,113.81
213,229.78,209.61
214,265.75,279.48
215,188.48,250.74
218,108.72,111.35
219,146.45,129.71
223,278.46,329.97
224,149.59,234.84
225,316.14,254.29
227,193.15,200.58
228,84.76,75.42
230,382.69,329.03
231,159.78,169.00
232,123.10,107.35
233,263.32,209.94
238,353.98,362.26
241,257.19,350.71
242,217.07,248.74
243,282.20,405.13
245,291.47,313.68
246,182.33,159.29
247,146.65,151.48
250,226.73,17.81
251,266.71,272.00
255,47.13,41.65
258,148.25,144.26
259,272.57,256.68
260,262.30,278.81
261,435.93,464.74
262,351.61,364.48
263,271.88,320.48
264,226.45,212.26
267,214.92,199.58
268,298.09,310.69
269,208.12,180.35
274,51.81,8.39
275,213.30,192.39
276,188.03,247.39
278,244.17,335.68
280,89.44,105.55
282,295.66,246.77
283,220.45,247.39
284,200.53,141.81
285,148.98,177.90
286,46.37,58.71
290,116.44,186.84
291,156.38,145.87
292,256.58,267.26
293,343.18,422.90
295,246.32,242.74
296,183.17,165.03
297,273.31,201.74
298,153.65,219.65
300,205.09,257.65
301,134.43,99.84
302,128.35,114.97
306,205.79,191.55
308,110.50,297.74
310,75.16,104.10
311,226.87,227.52
312,233.77,242.03
313,270.73,282.16
314,179.88,273.16
317,228.38,245.10
318,196.05,147.45
319,185.15,253.87
320,208.96,164.74
322,258.84,321.58
323,213.86,164.45
324,105.44,98.00
325,129.66,130.10
327,284.63,271.03
328,114.31,35.23
330,143.45,170.29
332,289.60,263.97
333,209.61,210.23
334,223.26,294.00
335,81.11,70.26
337,112.47,113.90
339,260.51,253.26
340,161.82,171.35
341,36.51,5.61
342,213.46,225.87
343,171.78,152.03
344,151.33,92.81
345,232.87,245.71
346,134.57,81.32
347,206.77,245.81
351,102.10,134.32
352,83.73,79.84
353,70.22,68.32
355,156.31,144.71
356,245.49,249.16
357,206.08,200.81
358,32.01,34.03
360,77.35,54.77
361,145.82,115.87
362,323.60,314.06
363,34.79,23.00
364,273.88,328.94
367,179.65,184.39
368,161.62,184.39
371,137.10,207.87
373,169.34,151.26
375,185.63,281.42
377,235.55,245.10
378,136.48,156.55
379,131.51,84.35
381,168.38,191.23
383,137.32,145.19
386,134.83,184.00
387,159.04,137.61
389,159.10,191.00
390,83.57,93.68
391,76.07,72.42
392,56.53,99.45
394,64.85,77.10
395,14.15,28.74
