N° CAMPAIGN,Prediction (µm),Ground Truth (µm)
1,335.41,241.58
2,479.33,389.32
4,375.80,506.10
6,264.99,174.90
10,165.55,144.48
12,255.96,268.90
14,220.42,190.32
15,230.14,129.87
16,239.22,159.48
17,300.39,253.77
19,311.29,25.19
27,505.35,439.16
28,162.16,220.61
30,332.78,319.65
31,389.15,370.48
35,358.25,285.03
36,178.43,161.74
37,304.57,300.58
38,303.10,254.23
39,426.65,426.74
41,498.75,421.77
43,240.63,193.19
46,291.86,277.19
47,167.57,140.05
48,484.78,387.00
49,322.18,260.97
51,213.16,259.32
52,255.68,195.06
54,212.61,202.06
55,332.80,299.65
59,424.60,410.81
60,429.85,343.19
61,274.01,259.81
62,380.40,332.84
63,270.91,184.68
64,393.00,363.71
65,328.78,284.10
66,365.14,335.93
68,70.32,51.10
73,318.81,272.00
78,225.87,239.36
79,347.56,392.23
81,351.25,362.39
83,439.34,400.23
88,486.79,492.65
89,493.94,472.00
90,176.17,170.31
91,291.34,394.32
92,104.74,101.39
96,400.72,431.61
105,422.69,400.10
106,73.01,98.32
108,110.36,212.03
110,334.18,163.42
111,180.39,254.39
112,177.52,140.52
113,425.20,441.03
115,474.29,437.19
117,101.38,79.00
118,207.17,147.10
119,179.51,157.52
121,205.09,143.94
123,211.23,212.03
124,282.57,266.23
125,324.91,336.10
126,227.27,243.42
127,266.50,256.87
129,254.09,221.48
132,286.14,258.48
134,137.92,147.71
135,124.81,124.48
136,384.11,322.13
141,63.05,56.39
146,265.76,294.29
148,243.18,183.42
152,350.89,333.71
154,214.98,200.13
155,246.98,238.55
156,214.24,164.26
158,141.74,140.10
160,395.13,381.18
162,419.12,382.19
163,350.59,308.48
164,161.22,197.87
165,447.51,371.19
167,290.80,308.68
168,493.87,465.61
169,366.61,308.68
170,302.33,297.52
172,510.86,518.16
175,470.72,346.06
176,491.30,467.16
179,190.43,255.32
181,295.06,276.84
184,241.06,196.26
185,158.07,152.84
186,278.78,239.00
190,190.21,175.42
192,124.26,143.61
194,125.45,124.55
195,488.80,492.97
196,337.98,365.10
197,403.66,367.71
198,458.90,447.87
199,340.77,346.06
200,283.71,320.84
201,224.73,188.29
202,197.00,187.52
203,365.31,343.48
204,422.11,370.45
205,322.85,366.42
206,315.76,310.06
207,358.36,280.45
210,434.43,345.77
212,258.42,279.65
214,350.22,327.77
216,400.41,409.16
217,76.56,53.42
222,250.07,192.52
223,478.17,428.13
224,194.51,215.74
225,421.84,268.16
227,369.21,356.94
228,104.46,90.06
230,455.89,353.94
231,244.86,222.52
232,260.62,173.13
236,335.50,291.42
238,381.19,345.74
239,499.67,480.81
241,360.75,318.23
242,362.24,318.61
243,436.05,374.58
245,372.30,295.68
246,353.00,317.77
247,254.71,307.94
250,288.45,262.45
255,75.95,51.87
258,200.80,182.87
259,514.50,475.35
260,247.66,206.42
261,661.79,657.39
262,487.06,504.19
263,390.73,415.84
264,356.37,307.23
265,173.51,85.77
266,231.96,224.59
267,418.41,403.90
269,342.60,300.70
270,33.52,48.94
273,111.55,97.16
274,79.92,24.32
278,299.21,269.58
279,302.02,275.52
280,169.70,180.42
283,215.28,202.81
284,353.68,305.90
287,245.32,233.10
289,304.89,328.45
290,311.33,327.58
291,278.52,258.68
293,573.55,569.32
294,260.94,241.45
295,407.38,400.26
296,201.04,169.74
299,443.28,419.90
300,360.76,94.35
305,255.15,236.48
306,300.00,279.90
308,167.25,412.71
309,136.80,197.81
310,101.91,139.97
311,378.36,305.32
312,435.57,465.10
313,423.52,397.74
316,218.03,211.13
318,307.29,258.65
319,396.07,376.06
321,174.62,143.48
322,351.38,346.19
323,360.14,338.23
325,220.69,211.33
326,152.39,116.71
327,493.37,485.55
328,191.82,155.90
329,414.42,391.06
330,241.56,305.52
332,384.66,369.03
333,303.62,273.65
334,376.73,323.19
336,484.40,440.84
338,94.17,68.00
339,366.63,353.45
340,269.04,257.19
341,68.88,61.77
342,378.20,317.97
343,287.17,280.74
345,365.16,353.71
346,221.18,243.03
347,348.64,317.81
348,320.20,336.77
350,137.18,158.65
351,158.67,152.23
354,306.37,330.00
355,212.43,178.23
356,341.15,389.13
357,246.68,213.61
359,259.24,230.55
360,127.73,173.90
361,226.39,170.81
362,441.11,411.13
363,57.09,14.97
364,323.21,314.77
367,214.24,173.90
369,395.36,394.68
370,154.50,164.97
372,216.68,244.55
373,244.04,216.61
376,359.99,390.29
378,126.87,148.26
380,124.42,103.65
381,339.65,335.61
385,103.04,41.65
386,198.43,189.84
388,189.50,159.42
389,258.02,257.00
392,85.43,82.74
394,96.82,136.71
395,21.69,22.77
